Video Length : 1356
2,-32.036322491,164.623304935,13.482924282|2,75.798930201,221.259245446,12.630974444|3,-135.955233253,218.142929786,12.471504105|
2,-32.042221263,164.477805171,13.483168262|2,74.113526373,221.685856182,12.673361915|3,-137.584846007,218.410249680,12.487010873|
2,72.464562345,220.994393119,12.647315996|2,-32.055719257,164.427143249,13.488079708|3,-139.249628183,218.106879780,12.467458301|
2,-32.094133477,164.296085335,13.492543067|2,71.049958076,220.434395973,12.630911029|3,-141.028972893,217.776740735,12.449903326|
2,-32.255692171,164.553153254,13.523246221|2,70.757231337,221.782872226,12.715139587|3,-143.311432842,217.686775964,12.441663458|
2,-32.236988972,164.412962942,13.511724371|2,70.258455885,221.152367230,12.680267004|3,-145.434718959,217.344290588,12.413173849|
2,-32.256562468,164.441267527,13.513894826|2,70.234185415,221.001586640,12.674198235|3,-148.247689727,217.588581424,12.420384070|
2,70.705032750,220.775473105,12.668222427|2,-32.251382327,164.163073510,13.502650613|3,-152.370426678,219.645827683,12.534337781|
2,71.811928246,221.213105142,12.693494139|2,-32.276287005,164.062628446,13.502093035|3,-154.378747480,218.419037329,12.459852512|
2,72.972240671,220.725808033,12.673657629|2,-32.298561666,163.622489081,13.487373564|3,-157.612255547,218.553217246,12.472724006|
2,74.633343539,220.820104767,12.675490450|2,-32.299933290,163.479812644,13.480120380|3,-160.330860095,218.157454829,12.445748265|
2,-32.329527385,163.529000456,13.486016888|2,76.396729387,220.331550680,12.637288420|3,-163.277253773,217.987082820,12.432467921|
2,-32.323749283,163.476396740,13.481992457|2,79.490403013,222.163956738,12.733678369|3,-166.461452447,218.140441960,12.439791192|
2,82.001313715,221.285337129,12.675162263|2,-32.329006405,163.507245290,13.487987527|3,-170.318706548,219.258566272,12.504272341|
2,85.430425660,222.294732734,12.729753994|2,-32.263127878,163.202292990,13.473604012|3,-172.332302229,217.979594657,12.435482829|
2,-32.228940178,163.370066625,13.489473707|2,88.800364197,222.312784472,12.724729284|3,-174.652052401,217.172365254,12.395048660|
2,-32.220770068,163.246691221,13.484626899|2,92.537869965,222.951994961,12.755175677|3,-178.035244140,217.776483612,12.433111823|
2,96.900830217,224.350318521,12.831210902|2,-32.173470641,163.119219278,13.474816724|3,-180.459861505,217.418601090,12.414638355|
2,-32.175362670,163.126556938,13.476087910|2,100.464044375,223.837280529,12.796802206|3,-183.760368297,218.175273461,12.462413617|
2,104.572790861,224.020630132,12.809463760|2,-32.206544397,163.185151401,13.490595264|3,-185.164508205,216.925618078,12.397293749|
2,-32.201390181,163.044091666,13.488525197|2,108.028889257,222.780580909,12.744077658|3,-186.769504945,216.163884021,12.361808949|
2,-32.201228035,163.041697025,13.488441154|2,112.601699107,223.702476790,12.797748773|3,-188.922145502,216.394148078,12.380811256|
2,-32.173599837,162.851169229,13.478068259|2,116.733051079,223.672244958,12.803112164|3,-190.916653525,216.763039616,12.408781886|
2,120.833851482,223.701734023,12.808236650|2,-32.177623930,162.887779447,13.479267832|3,-192.248972678,216.846575635,12.413193303|
2,124.608667073,223.169789990,12.788844460|2,-32.173722022,162.860186691,13.477566436|3,-192.409506256,215.953319657,12.366654220|
2,-32.142734320,162.676899878,13.468812923|2,128.224918067,222.628330034,12.773007625|3,-193.460120733,216.417577603,12.398407704|
2,-32.147520165,162.725834434,13.473799193|2,131.190871778,221.455843459,12.718532727|3,-193.871178752,216.595398010,12.409804728|
2,-32.167169628,162.776346717,13.482025132|2,134.779944037,221.610649271,12.739737159|3,-194.101496138,216.873667498,12.426591401|
2,-32.169931504,162.785151667,13.483742965|2,138.021273657,221.571189889,12.751891006|3,-193.173138121,216.373434172,12.396992815|
2,-32.129948515,162.518643086,13.464397742|2,140.368829860,220.565893982,12.710230461|3,-192.280845255,216.178419414,12.386421917|
2,142.451920488,219.551090509,12.671467148|2,-32.156370610,162.561918419,13.476277916|3,-191.674868312,216.696336139,12.416699581|
2,-32.148295934,162.480886086,13.469980429|2,144.891747256,219.627733071,12.688218692|3,-189.889877675,216.279313945,12.392209368|
2,146.887887167,219.545618207,12.691454823|2,-32.190055006,162.642458061,13.483149873|3,-187.319464744,215.352620398,12.334392760|
2,-32.203191412,162.739961192,13.491233167|2,147.907419704,218.441509426,12.638543756|3,-185.369991038,215.469781461,12.336668484|
2,-32.211762203,162.766240953,13.494844314|2,148.293531300,217.160645115,12.574642875|3,-183.190616421,215.498198129,12.336150622|
2,149.323085377,217.557345780,12.603673386|2,-32.208975468,162.706195359,13.496205356|3,-181.344308668,216.156219140,12.372579338|
2,149.005790392,216.760376085,12.559702628|2,-32.210240837,162.667315457,13.496747682|3,-178.549156193,215.832525821,12.352887941|
2,148.863446224,216.791964161,12.561607493|2,-32.223510809,162.678737899,13.500744640|3,-175.951168535,215.964279774,12.360365955|
2,147.811045916,216.257494546,12.527141631|2,-32.211335242,162.577891302,13.494619717|3,-173.036269467,215.860658921,12.353884314|
2,147.022173266,216.958393245,12.561337489|2,-32.165408218,162.231111606,13.468593403|3,-170.249264902,215.966287215,12.362566115|
2,-32.239307149,162.513109295,13.493224975|2,145.793579633,217.611107169,12.588318123|3,-167.714596752,216.577862318,12.400776749|
2,-32.261107010,162.557388790,13.496606960|2,143.906570475,217.912904747,12.592155427|3,-164.497246170,216.368799880,12.390882546|
2,141.928396930,218.733897402,12.626673202|2,-32.261107010,162.557388790,13.496606960|3,-161.238832891,216.076454727,12.375691367|
2,139.156438310,218.812103623,12.620229176|2,-32.257126185,162.515656778,13.493527414|3,-158.362539479,216.195368624,12.391289461|
